22:08:23.715 console.table() forward-logs-shared.js:31:1
(index) id fecha batch borrado trucks socio
0 035b5caa-701c-47b5-a089-7caaf6edb19a 2026-04-03 f5f9ed25-9e80-4d9b-984e-37b01b4b3751 true 6 Chicoral
1 05af2ba3-bc75-4fa6-8bcb-0423e3cc92cb 2026-04-12 a9034eb4-008e-42ff-a8e7-5b735c21969b true 2 Galpon
2 08fb934e-0f74-4dac-8902-4e6e70b79bd1 2026-03-16 undefined true 3 Cantimpla
3 10f51c65-704d-4c8d-9a92-13e798d120fb 2026-06-12 318b41ba-3e0a-4d56-9cf4-7c43c89a209f true 2 Fachería
4 122817e9-348c-4c09-879a-058fc45ad1cf 2026-01-12 undefined false 0 Galpon
5 1839894d-233b-44fc-a437-7dd74c6c4379 2026-03-17 undefined true 4 Cantimpla
6 1dbcfa67-c7bf-4d25-833c-474d63f5e482 2026-03-30 0b4858b9-6a79-4760-9786-f05065930132 true 3 Galpon
7 1dd62a71-b616-4d37-ae8f-fa164220697b 2026-03-17 undefined true 4 Cantimpla
8 2000a376-ee0e-4669-977b-b5fbfa3f8097 2026-04-12 90db7207-e33c-4ac5-9394-0f0be412dc11 true 2 Galpon
9 26309d26-fbd6-4536-b1a6-54e776b857b5 2026-01-20 undefined false 0 Galpon
10 27733b3b-a7f7-497c-84d9-20f419150fb3 2026-04-04 88dc0df1-99eb-40ad-a1cf-e2313492a782 true 1 Galpon
11 2815c297-5bba-4741-bdf4-aed493931178 2026-03-16 undefined true 4 Galpon
12 2a0d5893-27b6-445f-a0c6-a5e42ee0fcc4 2026-02-05 undefined false 0 Galpon
13 2bcb01f3-c7a6-46d5-8768-693668a62205 2026-03-31 9c99dc8e-d675-4a7a-8955-e13def8b7cb7 false 2 Masa escape
14 3028c3be-ef25-482a-b3b8-40560c65b023 2026-01-31 undefined false 0 Galpon
15 3373cee2-7246-43e4-bd7f-9775ad416aec 2026-03-31 9c99dc8e-d675-4a7a-8955-e13def8b7cb7 false 2 Galpon
16 36dab5d8-ec3e-41ac-8c7d-3555cba987a0 2026-03-30 0b4858b9-6a79-4760-9786-f05065930132 true 3 Dogey
17 3a7ecd15-c093-4d48-884b-ba07b2f7a9e0 2026-03-15 undefined true 3 Galpon
18 3b6c4212-a2d1-4bdd-87ef-1709778b25f6 2026-03-26 b4d2ee82-8bc0-4cea-9aed-1b0fbfdf1d65 false 6 Galpon
19 3c72c098-ca23-47a3-b141-feacc0ae4de6 2026-03-17 undefined true 4 Cantimpla
20 3dd68165-b15d-40bf-ba90-40865a7ed5ac 2026-03-30 0b4858b9-6a79-4760-9786-f05065930132 false 3 Dogey
21 4217ab1a-f3ec-49d6-9a54-7e62a5cde374 2026-04-13 9c69c271-6031-4fcf-9174-cde5fc9be659 false 0 Buboral
22 43687231-0e4c-4411-9584-3a623f884d99 2026-03-17 undefined true 4 Cantimpla
23 46f07ca8-97f7-4e4c-937c-774c6a4147bd 2026-03-30 20abb4a2-d90a-447b-b138-4a793feb0951 true 3 Dogey
24 47702e78-64a8-488e-b425-49f7e2cd337d 2026-03-17 undefined true 4 Galpon
25 492ce504-2d53-4d85-9797-b43972467f53 2026-04-03 865466ae-d638-4dae-b48a-58ed91385a79 true 4 Malva
26 4acffe71-3236-418a-9b5f-9fc2fb41171b 2026-03-17 undefined true 5 Cantimpla
27 4df159d2-6b5a-4c52-aa03-3fbf4f5fc826 2026-03-17 undefined true 5 Cantimpla
28 4e22e66e-8121-4d9d-98a6-0e01c5f86b98 2026-04-12 90db7207-e33c-4ac5-9394-0f0be412dc11 true 2 Galpon
29 4e44251d-1de3-48d2-bdfa-a93d887215a9 2026-06-12 318b41ba-3e0a-4d56-9cf4-7c43c89a209f true 2 Galpon
30 4e7baf72-3c28-4584-92c4-e678f9993356 2026-03-17 undefined true 4 Carnerito
31 4f26ee18-8d4b-4f81-8fdb-e848763faa9a 2026-04-12 90db7207-e33c-4ac5-9394-0f0be412dc11 true 0 Fachería
32 535309b1-f18f-4821-b04d-f2f51dab49e0 2026-04-03 f5f9ed25-9e80-4d9b-984e-37b01b4b3751 true 2 Galpon
33 53b51c48-cfb5-434d-b98c-9c064dc5eaa0 2026-03-15 undefined true 3 Galpon
34 53b8a990-77fc-409f-876a-c6638ec3c9ba 2026-03-15 undefined true 3 Galpon
35 551265da-8723-4ecd-a56e-ee482e38b114 2026-04-03 865466ae-d638-4dae-b48a-58ed91385a79 true 2 Galpon
36 563301d9-70c7-46a2-bfa2-ff04ce252276 2026-03-16 undefined true 4 Galpon
37 56408573-24ad-4671-b1ec-06e1e4884070 2026-03-16 undefined true 4 Galpon
38 56c0eab9-95d8-4632-adc1-89b1ca0b1b85 2026-04-03 9ae3ca8d-3d65-404d-99a0-abcab6bf840a false 1 Magdalene
